@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
196,'2023/06/14 11:01:15:732',7,709,716,715,636,712,717,677,720,712,717,693,669,0.11859,0.178717,0.414055
197,'2023/06/14 11:01:15:743',7,709,717,715,635,712,718,676,719,712,717,693,667,0.11859,0.178717,0.414055
198,'2023/06/14 11:01:15:751',7,709,716,715,639,712,718,678,720,711,718,695,669,0.11859,0.178717,0.414055
199,'2023/06/14 11:01:15:763',7,709,716,714,634,712,717,676,719,711,716,693,667,0.11859,0.178717,0.414055
200,'2023/06/14 11:01:15:772',7,709,716,715,638,712,718,678,720,712,718,693,669,0.11859,0.178717,0.414055
201,'2023/06/14 11:01:15:781',7,709,716,715,638,712,718,678,720,712,718,693,669,0.11859,0.178717,0.414055
202,'2023/06/14 11:01:15:792',7,709,716,715,635,712,717,677,720,712,717,693,669,0.11859,0.178717,0.414055
203,'2023/06/14 11:01:15:801',7,709,716,715,637,712,718,677,719,712,717,693,668,0.11859,0.178717,0.414055
204,'2023/06/14 11:01:15:813',7,709,716,714,638,712,718,678,720,712,717,693,669,0.11859,0.178717,0.414055
205,'2023/06/14 11:01:15:822',7,709,716,715,634,712,718,676,720,711,717,693,668,0.11859,0.178717,0.414055
206,'2023/06/14 11:01:15:831',7,710,716,714,639,712,717,677,720,712,717,693,670,0.11859,0.178717,0.414055
207,'2023/06/14 11:01:15:843',7,709,716,715,635,712,718,676,720,712,717,693,667,0.11859,0.178717,0.414055
208,'2023/06/14 11:01:15:851',7,709,716,715,635,712,718,676,720,712,717,693,667,0.11859,0.178717,0.414055
209,'2023/06/14 11:01:15:862',7,709,716,715,637,712,718,677,720,711,718,694,668,0.11859,0.178717,0.414055
